_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Ant	Cataglyphis hispanica	Hymenoptera	chis	GCA_021464435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/464/435/GCF_021464435.1_ULB_Chis1_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Cataglyphis_hispanica/100/	NCBI Cataglyphis hispanica Annotation Release 100	Universite Libre de Bruxelles	https://www.ulb.be/en/ulb-homepage
Aster leafhopper	Macrosteles quadrilineatus	Hemiptera	mqua	GCA_028750875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/750/875/GCF_028750875.1_UCM_ALF_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Macrosteles_quadrilineatus/GCF_028750875.1-RS_2023_03/	NCBI Macrosteles quadrilineatus Annotation Release GCF_028750875.1-RS_2023_03	University of California Merced	https://www.ucmerced.edu/
Brown dog tick	Rhipicephalus sanguineus	Ixodidea	rsan	GCA_013339695.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/695/GCF_013339695.2_BIME_Rsan_1.4	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhipicephalus_sanguineus/101/	NCBI Rhipicephalus sanguineus Annotation Release 101	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	https://bigd.big.ac.cn/gwh/Assembly/8868/show
Central American locust	Schistocerca piceifrons	Orthoptera	spic	GCA_021461385.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/385/GCF_021461385.2_iqSchPice1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_piceifrons/100/	NCBI Schistocerca piceifrons Annotation Release 100	Behavioral Plasticity Research Institute (BPRI)	https://behavioralplasticity.org/
Citrus red mite	Panonychus citri	Acari	psit	GCA_014898815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/898/815/GCF_014898815.1_ASM1489881v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Panonychus_citri/GCF_014898815.1-RS_2023_01/	NCBI Panonychus citri Annotation Release GCF_014898815.1-RS_2023_01	Citrus Research Institute, Southwest University/Chinese Academy of Agricultural Sciences	http://gjs.swu.edu.cn/info/1069/4158.htm
Drywood termite	Cryptotermes secundus	Dictyoptera	csec	GCA_002891405.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/891/405/GCF_002891405.2_Csec_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Cryptotermes_secundus/101/	NCBI Cryptotermes secundus Annotation Release 101	Westfaelische Wilhelms-University	https://www.uni-muenster.de/en/
European flat oyster	Ostrea edulis	Mollusca	oedu	GCA_023158985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/158/985/GCF_023158985.2_OEROSLIN_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Ostrea_edulis/100/	NCBI Ostrea edulis Annotation Release 100	AquaLeap	https://www.ed.ac.uk/roslin/aquaculture/news/update-on-the-aqualeap-consortium-project
Grape phylloxera	Daktulosphaira vitifoliae	Hemiptera	dvit	GCA_025091365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/091/365/GCF_025091365.1_ASM2509136v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Daktulosphaira_vitifoliae/100/	NCBI Daktulosphaira vitifoliae Annotation Release 100	University of Texas at Austin	https://www.utexas.edu/
Grasshoppers	Schistocerca gregaria	Orthoptera	sgre	GCA_023897955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/897/955/GCF_023897955.1_iqSchGreg1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_gregaria/100	NCBI Schistocerca gregaria Annotation Release 100	Agricultural Research Service, United States Department of Agriculture	https://www.ars.usda.gov/
Grasshoppers	Schistocerca serialis cubense	Orthoptera	sser	GCA_023864345.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/864/345/GCF_023864345.2_iqSchSeri2.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Schistocerca_serialis_cubense/100	NCBI Schistocerca serialis cubense Annotation Release 100	Behavioral Plasticity Research Institute (BPRI)	https://behavioralplasticity.org/
