_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
# New cores									
Small hive beetle	Aethina tumida	Coleoptera	atum	GCA_024364675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/364/675/GCF_024364675.1_icAetTumi1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Aethina_tumida/101/	NCBI Aethina tumida Annotation Release 101	USDA Ag100Pest Initiative Working Group	https://scinet.usda.gov/working-groups/ag100pest
Boll weevil	Anthonomus grandis grandis	Coleoptera	agra	GCA_022605725.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/605/725/GCF_022605725.1_icAntGran1.3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Anthonomus_grandis_grandis/100	NCBI Anthonomus grandis grandis Annotation Release 100	United States Department of Agriculture	https://www.usda.gov/
Western corn rootworm	Diabrotica virgifera virgifera	Coleoptera	dvir	GCA_917563875.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/917/563/875/GCF_917563875.1_PGI_DIABVI_V3a	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Diabrotica_virgifera_virgifera/101/	NCBI Diabrotica virgifera virgifera Annotation Release 101	Rothamsted Research	https://www.rothamsted.ac.uk
Rice weevil	Sitophilus oryzae	Coleoptera	sory	GCA_002938485.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/938/485/GCF_002938485.1_Soryzae_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Sitophilus_oryzae/100/	NCBI Sitophilus oryzae Annotation Release 100	BF2I (Biologie Fonctionnelle Insectes et Interactions) Laboratory	https://bf2i.insa-lyon.fr/en/
Southern Dogface	Zerene cesonia	Lepidoptera	zces	GCA_012273895.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/273/895/GCF_012273895.1_Zerene_cesonia_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Zerene_cesonia/100/	NCBI Zerene cesonia Annotation Release 100	University of Montana	https://www.umt.edu/
Glassy winged sharpshooter	Homalodisca vitripennis	Hemiptera	hvit	GCA_021130785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/130/785/GCF_021130785.1_UT_GWSS_2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Homalodisca_vitripennis/100/	NCBI Homalodisca vitripennis Annotation Release 100	University of Texas at Austin	https://www.utexas.edu/
Brown planthopper	Nilaparvata lugens	Hemiptera	nlug	GCA_014356525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/356/525/GCF_014356525.1_ASM1435652v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Nilaparvata_lugens/101	NCBI Nilaparvata lugens Annotation Release 101	College of Plant Science and Technology, Huazhong Agricultural University	http://ic.hzau.edu.cn/info/1084/1124.htm
Hunt's bumblebee	Bombus huntii	Hymenoptera	bhun	GCA_024542735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/542/735/GCF_024542735.1_iyBomHunt1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bombus_huntii/100/	NCBI Bombus huntii Annotation Release 100	USDA Ag100Pest Initiative Working Group	https://scinet.usda.gov/working-groups/ag100pest
Red paper wasp	Polistes canadensis	Hymenoptera	pcan	GCA_001313835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/313/835/GCF_001313835.1_ASM131383v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Polistes_canadensis/100	NCBI Polistes canadensis Annotation Release 100	CRG-Centre for Genomic Regulation	https://www.crg.eu/
